Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,,
03/01/2020,Albany,0,0,0,0,,
03/02/2020,Albany,0,0,0,0,,
03/03/2020,Albany,0,0,0,0,,
03/04/2020,Albany,0,0,0,0,,
03/05/2020,Albany,0,0,3,3,,
03/06/2020,Albany,0,0,0,3,,
03/07/2020,Albany,0,0,5,8,,
03/08/2020,Albany,0,0,2,10,,
03/09/2020,Albany,0,0,3,13,,
03/10/2020,Albany,0,0,2,15,,
03/11/2020,Albany,0,0,13,28,,
03/12/2020,Albany,1,1,11,39,,
03/13/2020,Albany,2,3,26,65,,
03/14/2020,Albany,3,6,108,173,,
03/15/2020,Albany,6,12,108,281,,
03/16/2020,Albany,11,23,140,421,,
03/17/2020,Albany,13,36,267,688,,
03/18/2020,Albany,7,43,331,"1,019",,
03/19/2020,Albany,18,61,450,"1,469",,
03/20/2020,Albany,27,88,499,"1,968",,
03/21/2020,Albany,35,123,577,"2,545",,
03/22/2020,Albany,4,127,197,"2,742",,
03/23/2020,Albany,19,146,144,"2,886",,
03/24/2020,Albany,6,152,198,"3,084",,
03/25/2020,Albany,19,171,93,"3,177",,
03/26/2020,Albany,16,187,112,"3,289",,
03/27/2020,Albany,8,195,101,"3,390",,
03/28/2020,Albany,10,205,73,"3,463",,
03/29/2020,Albany,12,217,61,"3,524",,
03/30/2020,Albany,9,226,72,"3,596",,
03/31/2020,Albany,14,240,108,"3,704",,
04/01/2020,Albany,13,253,106,"3,810",,
04/02/2020,Albany,14,267,105,"3,915",,
04/03/2020,Albany,26,293,123,"4,038",,
04/04/2020,Albany,12,305,117,"4,155",,
04/05/2020,Albany,14,319,89,"4,244",,
04/06/2020,Albany,14,333,86,"4,330",,
04/07/2020,Albany,9,342,74,"4,404",,
04/08/2020,Albany,37,379,229,"4,633",,
04/09/2020,Albany,47,426,332,"4,965",,
04/10/2020,Albany,20,446,159,"5,124",,
04/11/2020,Albany,32,478,223,"5,347",,
04/12/2020,Albany,21,499,193,"5,540",,
04/13/2020,Albany,36,535,216,"5,756",,
04/14/2020,Albany,13,548,106,"5,862",,
04/15/2020,Albany,33,581,301,"6,163",,
04/16/2020,Albany,38,619,273,"6,436",,
04/17/2020,Albany,29,648,291,"6,727",,
04/18/2020,Albany,34,682,305,"7,032",,
04/19/2020,Albany,5,687,103,"7,135",,
04/20/2020,Albany,17,704,164,"7,299",,
04/21/2020,Albany,33,737,236,"7,535",,
04/22/2020,Albany,21,758,178,"7,713",,
04/23/2020,Albany,47,805,319,"8,032",,
04/24/2020,Albany,94,899,626,"8,658",,
04/25/2020,Albany,49,948,402,"9,060",,
04/26/2020,Albany,31,979,263,"9,323",,
04/27/2020,Albany,30,"1,009",197,"9,520",,
04/28/2020,Albany,58,"1,067",351,"9,871",,
04/29/2020,Albany,98,"1,165",439,"10,310",,
04/30/2020,Albany,39,"1,204",378,"10,688",,
05/01/2020,Albany,34,"1,238",434,"11,122",,
05/02/2020,Albany,20,"1,258",441,"11,563",,
05/03/2020,Albany,29,"1,287",391,"11,954",,
05/04/2020,Albany,7,"1,294",130,"12,084",,
05/05/2020,Albany,27,"1,321",367,"12,451",,
05/06/2020,Albany,27,"1,348",407,"12,858",,
05/07/2020,Albany,36,"1,384",385,"13,243",,
05/08/2020,Albany,32,"1,416",488,"13,731",,
05/09/2020,Albany,16,"1,432",455,"14,186",,
05/10/2020,Albany,24,"1,456",384,"14,570",,
05/11/2020,Albany,23,"1,479",341,"14,911",,
05/12/2020,Albany,15,"1,494",335,"15,246",,
05/13/2020,Albany,15,"1,509",546,"15,792",,
05/14/2020,Albany,29,"1,538",541,"16,333",,
05/15/2020,Albany,34,"1,572",482,"16,815",,
05/16/2020,Albany,7,"1,579",411,"17,226",,
05/17/2020,Albany,31,"1,610",342,"17,568",,
05/18/2020,Albany,45,"1,655",398,"17,966",,
05/19/2020,Albany,27,"1,682",697,"18,663",,
05/20/2020,Albany,18,"1,700",650,"19,313",,
05/21/2020,Albany,56,"1,756",920,"20,233",,
05/22/2020,Albany,14,"1,770",655,"20,888",,
05/23/2020,Albany,12,"1,782",438,"21,326",,
05/24/2020,Albany,9,"1,791",378,"21,704",,
05/25/2020,Albany,2,"1,793",328,"22,032",,
05/26/2020,Albany,3,"1,796",369,"22,401",,
05/27/2020,Albany,18,"1,814",666,"23,067",,
05/28/2020,Albany,20,"1,834",416,"23,483",,
05/29/2020,Albany,9,"1,843",521,"24,004",,
05/30/2020,Albany,17,"1,860",760,"24,764",,
05/31/2020,Albany,22,"1,882",537,"25,301",,
06/01/2020,Albany,18,"1,900",618,"25,919",,
06/02/2020,Albany,20,"1,920","1,170","27,089",,
06/03/2020,Albany,10,"1,930",817,"27,906",,
06/04/2020,Albany,11,"1,941","1,179","29,085",,
06/05/2020,Albany,12,"1,953","1,164","30,249",,
06/06/2020,Albany,8,"1,961",751,"31,000",,
06/07/2020,Albany,17,"1,978","1,194","32,194",,
06/08/2020,Albany,5,"1,983",616,"32,810",,
06/09/2020,Albany,3,"1,986",569,"33,379",,
06/10/2020,Albany,10,"1,996",774,"34,153",,
06/11/2020,Albany,11,"2,007","1,103","35,256",,
06/12/2020,Albany,9,"2,016",739,"35,995",,
06/13/2020,Albany,4,"2,020",874,"36,869",,
06/14/2020,Albany,2,"2,022",496,"37,365",,
06/15/2020,Albany,4,"2,026",577,"37,942",,
06/16/2020,Albany,3,"2,029",592,"38,534",,
06/17/2020,Albany,5,"2,034",843,"39,377",,
06/18/2020,Albany,15,"2,049","1,070","40,447",,
06/19/2020,Albany,4,"2,053",610,"41,057",,
06/20/2020,Albany,1,"2,054",784,"41,841",,
06/21/2020,Albany,6,"2,060",931,"42,772",,
06/22/2020,Albany,2,"2,062",427,"43,199",,
06/23/2020,Albany,3,"2,065",586,"43,785",,
06/24/2020,Albany,11,"2,076","1,325","45,110",,
06/25/2020,Albany,8,"2,084",630,"45,740",,
06/26/2020,Albany,7,"2,091",799,"46,539",,
06/27/2020,Albany,6,"2,097",762,"47,301",,
06/28/2020,Albany,2,"2,099",514,"47,815",,
06/29/2020,Albany,3,"2,102",543,"48,358",,
06/30/2020,Albany,10,"2,112",731,"49,089",,
07/01/2020,Albany,13,"2,125",928,"50,017",,
07/02/2020,Albany,5,"2,130",805,"50,822",,
07/03/2020,Albany,15,"2,145",970,"51,792",,
07/04/2020,Albany,7,"2,152","1,098","52,890",,
07/05/2020,Albany,8,"2,160",626,"53,516",,
07/06/2020,Albany,4,"2,164",421,"53,937",,
07/07/2020,Albany,11,"2,175","1,020","54,957",,
07/08/2020,Albany,8,"2,183","1,260","56,217",,
07/09/2020,Albany,7,"2,190",625,"56,842",,
07/10/2020,Albany,18,"2,208","1,252","58,094",,
07/11/2020,Albany,11,"2,219",815,"58,909",,
07/12/2020,Albany,6,"2,225",594,"59,503",,
07/13/2020,Albany,22,"2,247","1,139","60,642",,
07/14/2020,Albany,33,"2,280",860,"61,502",,
07/15/2020,Albany,10,"2,290","1,065","62,567",,
07/16/2020,Albany,20,"2,310","1,098","63,665",,
07/17/2020,Albany,5,"2,315",816,"64,481",,
07/18/2020,Albany,3,"2,318",335,"64,816",,
07/19/2020,Albany,4,"2,322",877,"65,693",,
07/20/2020,Albany,29,"2,351","1,354","67,047",,
07/21/2020,Albany,18,"2,369",981,"68,028",,
07/22/2020,Albany,32,"2,401",975,"69,003",,
07/23/2020,Albany,25,"2,426",896,"69,899",,
07/24/2020,Albany,12,"2,438",632,"70,531",,
07/25/2020,Albany,13,"2,451",817,"71,348",,
07/26/2020,Albany,2,"2,453",820,"72,168",,
07/27/2020,Albany,15,"2,468",929,"73,097",,
07/28/2020,Albany,12,"2,480",843,"73,940",,
07/29/2020,Albany,13,"2,493",763,"74,703",,
07/30/2020,Albany,10,"2,503",745,"75,448",,
07/31/2020,Albany,12,"2,515","1,055","76,503",,
08/01/2020,Albany,6,"2,521",463,"76,966",,
08/02/2020,Albany,10,"2,531",529,"77,495",,
08/03/2020,Albany,12,"2,543",770,"78,265",,
08/04/2020,Albany,13,"2,556","1,218","79,483",,
08/05/2020,Albany,9,"2,565",800,"80,283",,
08/06/2020,Albany,8,"2,573",757,"81,040",,
08/07/2020,Albany,8,"2,581",946,"81,986",,
08/08/2020,Albany,14,"2,595",903,"82,889",,
08/09/2020,Albany,5,"2,600",739,"83,628",,
08/10/2020,Albany,14,"2,614","1,127","84,755",,
08/11/2020,Albany,10,"2,624","1,451","86,206",,
08/12/2020,Albany,12,"2,636","1,052","87,258",,
08/13/2020,Albany,3,"2,639","1,173","88,431",,
08/14/2020,Albany,4,"2,643","1,109","89,540",,
08/15/2020,Albany,11,"2,654","1,142","90,682",,
08/16/2020,Albany,3,"2,657",700,"91,382",,
08/17/2020,Albany,4,"2,661",991,"92,373",,
08/18/2020,Albany,14,"2,675","1,197","93,570",,
08/19/2020,Albany,9,"2,684","1,750","95,320",,
08/20/2020,Albany,7,"2,691","1,443","96,763",,
08/21/2020,Albany,2,"2,693","1,336","98,099",,
08/22/2020,Albany,6,"2,699","1,263","99,362",,
08/23/2020,Albany,2,"2,701",490,"99,852",,
08/24/2020,Albany,10,"2,711",972,"100,824",,
08/25/2020,Albany,7,"2,718","1,042","101,866",,
08/26/2020,Albany,18,"2,736","1,266","103,132",,
08/27/2020,Albany,10,"2,746","1,264","104,396",,
08/28/2020,Albany,8,"2,754","1,183","105,579",,
08/29/2020,Albany,10,"2,764","1,519","107,098",,
08/30/2020,Albany,6,"2,770",594,"107,692",,
08/31/2020,Albany,16,"2,786",841,"108,533",,
09/01/2020,Albany,5,"2,791","1,116","109,649",,
09/02/2020,Albany,11,"2,802","1,655","111,304",,
09/03/2020,Albany,17,"2,819",899,"112,203",,
09/04/2020,Albany,4,"2,823",996,"113,199",,
09/05/2020,Albany,8,"2,831",824,"114,023",,
09/06/2020,Albany,2,"2,833",727,"114,750",,
09/07/2020,Albany,7,"2,840",665,"115,415",,
09/08/2020,Albany,6,"2,846",499,"115,914",,
09/09/2020,Albany,13,"2,859",724,"116,638",,
09/10/2020,Albany,23,"2,882","1,326","117,964",,
09/11/2020,Albany,14,"2,896","1,386","119,350",,
09/12/2020,Albany,19,"2,915",844,"120,194",,
09/13/2020,Albany,6,"2,921",555,"120,749",,
09/14/2020,Albany,15,"2,936",797,"121,546",,
09/15/2020,Albany,12,"2,948",997,"122,543",,
09/16/2020,Albany,21,"2,969","1,084","123,627",,
09/17/2020,Albany,10,"2,979","1,229","124,856",,
09/18/2020,Albany,27,"3,006","1,322","126,178",,
09/19/2020,Albany,10,"3,016","1,147","127,325",,
09/20/2020,Albany,8,"3,024",669,"127,994",,
09/21/2020,Albany,13,"3,037",776,"128,770",,
09/22/2020,Albany,6,"3,043",869,"129,639",,
09/23/2020,Albany,10,"3,053","1,519","131,158",,
09/24/2020,Albany,10,"3,063","1,348","132,506",,
09/25/2020,Albany,19,"3,082","1,202","133,708",,
09/26/2020,Albany,13,"3,095","1,091","134,799",,
09/27/2020,Albany,9,"3,104",789,"135,588",,
09/28/2020,Albany,12,"3,116",939,"136,527",,
09/29/2020,Albany,4,"3,120",925,"137,452",,
09/30/2020,Albany,13,"3,133","1,496","138,948",,
10/01/2020,Albany,20,"3,153","1,343","140,291",,
10/02/2020,Albany,22,"3,175","1,783","142,074",,
10/03/2020,Albany,15,"3,190","1,052","143,126",,
10/04/2020,Albany,11,"3,201",833,"143,959",,
10/05/2020,Albany,17,"3,218","1,061","145,020",,
10/06/2020,Albany,15,"3,233","1,328","146,348",,
10/07/2020,Albany,18,"3,251","2,089","148,437",,
10/08/2020,Albany,17,"3,268","2,240","150,677",,
10/09/2020,Albany,12,"3,280","2,225","152,902",,
10/10/2020,Albany,13,"3,293","1,823","154,725",,
10/11/2020,Albany,11,"3,304",819,"155,544",,
10/12/2020,Albany,20,"3,324","1,393","156,937",,
10/13/2020,Albany,19,"3,343","1,278","158,215",,
10/14/2020,Albany,26,"3,369","1,823","160,038",,
10/15/2020,Albany,14,"3,383","3,007","163,045",,
10/16/2020,Albany,15,"3,398","1,318","164,363",,
10/17/2020,Albany,18,"3,416","1,354","165,717",,
10/18/2020,Albany,11,"3,427",769,"166,486",,
10/19/2020,Albany,9,"3,436",997,"167,483",,
10/20/2020,Albany,24,"3,460","1,466","168,949",,
10/21/2020,Albany,28,"3,488","1,454","170,403",,
10/22/2020,Albany,28,"3,516","1,856","172,259",,
10/23/2020,Albany,33,"3,549","2,694","174,953",,
10/24/2020,Albany,28,"3,577","1,148","176,101",,
10/25/2020,Albany,13,"3,590",809,"176,910",,
10/26/2020,Albany,23,"3,613","1,212","178,122",,
10/27/2020,Albany,14,"3,627","1,082","179,204",,
10/28/2020,Albany,33,"3,660","2,240","181,444",,
10/29/2020,Albany,45,"3,705","2,037","183,481",,
10/30/2020,Albany,19,"3,724","1,581","185,062",,
10/31/2020,Albany,26,"3,750","1,578","186,640",,
11/01/2020,Albany,21,"3,771",905,"187,545",,
11/02/2020,Albany,31,"3,802","1,432","188,977",,
11/03/2020,Albany,43,"3,845","1,169","190,146",,
11/04/2020,Albany,32,"3,877","2,982","193,128",,
11/05/2020,Albany,65,"3,942","3,059","196,187",,
11/06/2020,Albany,82,"4,024","2,976","199,163",,
11/07/2020,Albany,25,"4,049","2,845","202,008",,
11/08/2020,Albany,46,"4,095",976,"202,984",,
11/09/2020,Albany,97,"4,192","1,767","204,751",,
11/10/2020,Albany,60,"4,252","4,990","209,741",,
11/11/2020,Albany,84,"4,336","2,714","212,455",,
11/12/2020,Albany,89,"4,425","3,923","216,378",,
11/13/2020,Albany,89,"4,514","3,012","219,390",,
11/14/2020,Albany,15,"4,529","1,000","220,390",,
11/15/2020,Albany,43,"4,572","1,955","222,345",,
11/16/2020,Albany,81,"4,653","1,773","224,118",,
11/17/2020,Albany,77,"4,730","1,628","225,746",,
11/18/2020,Albany,92,"4,822","2,566","228,312",,
11/19/2020,Albany,84,"4,906","4,662","232,974",,
11/20/2020,Albany,107,"5,013","2,351","235,325",,
11/21/2020,Albany,95,"5,108","3,915","239,240",,
11/22/2020,Albany,40,"5,148","1,827","241,067",,
11/23/2020,Albany,85,"5,233","2,269","243,336",,
11/24/2020,Albany,91,"5,324","2,282","245,618",,
11/25/2020,Albany,102,"5,426","2,909","248,527",,
11/26/2020,Albany,129,"5,555","2,300","250,827",,
11/27/2020,Albany,63,"5,618","1,911","252,738",,
11/28/2020,Albany,94,"5,712","2,465","255,203",,
11/29/2020,Albany,104,"5,816","2,187","257,390",,
11/30/2020,Albany,152,"5,968","2,826","260,216",,
12/01/2020,Albany,170,"6,138","2,656","262,872",,
12/02/2020,Albany,120,"6,258","2,848","265,720",,
12/03/2020,Albany,148,"6,406","3,002","268,722",,
12/04/2020,Albany,165,"6,571","4,048","272,770",,
12/05/2020,Albany,140,"6,711","2,700","275,470",,
12/06/2020,Albany,107,"6,818","1,453","276,923",,
12/07/2020,Albany,173,"6,991","2,223","279,146",,
12/08/2020,Albany,185,"7,176","1,922","281,068",,
12/09/2020,Albany,216,"7,392","3,015","284,083",,
12/10/2020,Albany,163,"7,555","3,138","287,221",,
12/11/2020,Albany,163,"7,718","2,794","290,015",,
12/12/2020,Albany,170,"7,888","2,708","292,723",,
12/13/2020,Albany,162,"8,050","1,766","294,489",,
12/14/2020,Albany,164,"8,214","1,646","296,135",,
12/15/2020,Albany,191,"8,405","2,463","298,598",,
12/16/2020,Albany,208,"8,613","3,191","301,789",,
12/17/2020,Albany,208,"8,821","3,258","305,047",,
12/18/2020,Albany,176,"8,997","2,498","307,545",,
12/19/2020,Albany,177,"9,174","2,716","310,261",,
12/20/2020,Albany,203,"9,377","2,095","312,356",,
12/21/2020,Albany,209,"9,586","2,519","314,875",,
12/22/2020,Albany,200,"9,786","2,485","317,360",,
12/23/2020,Albany,259,"10,045","2,544","319,904",,
12/24/2020,Albany,229,"10,274","4,015","323,919",,
12/25/2020,Albany,215,"10,489","2,413","326,332",,
12/26/2020,Albany,140,"10,629","1,858","328,190",,
12/27/2020,Albany,251,"10,880","1,657","329,847",,
12/28/2020,Albany,232,"11,112","1,869","331,716",,
12/29/2020,Albany,221,"11,333","2,096","333,812",,
12/30/2020,Albany,252,"11,585","2,845","336,657",,
12/31/2020,Albany,332,"11,917","3,711","340,368",,
01/01/2021,Albany,282,"12,199","2,716","343,084",,
01/02/2021,Albany,206,"12,405","1,950","345,034",,
01/03/2021,Albany,188,"12,593","1,365","346,399",,
01/04/2021,Albany,259,"12,852","2,046","348,445",,
01/05/2021,Albany,260,"13,112","2,403","350,848",,
01/06/2021,Albany,298,"13,410","3,628","354,476",,
01/07/2021,Albany,287,"13,697","3,320","357,796",,
01/08/2021,Albany,233,"13,930","3,553","361,349",,
01/09/2021,Albany,266,"14,196","2,977","364,326",,
01/10/2021,Albany,215,"14,411","2,523","366,849",,
01/11/2021,Albany,352,"14,763","2,895","369,744",,
01/12/2021,Albany,211,"14,974","2,409","372,153",,
01/13/2021,Albany,256,"15,230","2,998","375,151",,
01/14/2021,Albany,290,"15,520","3,947","379,098",,
01/15/2021,Albany,251,"15,771","3,592","382,690",,
01/16/2021,Albany,210,"15,981","2,948","385,638",,
01/17/2021,Albany,187,"16,168","1,963","387,601",,
01/18/2021,Albany,175,"16,343","2,056","389,657",,
01/19/2021,Albany,178,"16,521","2,099","391,756",,
01/20/2021,Albany,267,"16,788","3,998","395,754",,
01/21/2021,Albany,257,"17,045","3,840","399,594",,
01/22/2021,Albany,242,"17,287","3,275","402,869",,
01/23/2021,Albany,198,"17,485","2,808","405,677",,
01/24/2021,Albany,135,"17,620","2,110","407,787",,
01/25/2021,Albany,178,"17,798","2,459","410,246",,
01/26/2021,Albany,179,"17,977","2,405","412,651",,
01/27/2021,Albany,212,"18,189","3,486","416,137",,
01/28/2021,Albany,170,"18,359","3,924","420,061",,
01/29/2021,Albany,160,"18,519","3,700","423,761",,
01/30/2021,Albany,182,"18,701","3,852","427,613",,
01/31/2021,Albany,70,"18,771","1,424","429,037",,
02/01/2021,Albany,87,"18,858","1,272","430,309",,
02/02/2021,Albany,80,"18,938","1,276","431,585",,
02/03/2021,Albany,162,"19,100","2,997","434,582",,
02/04/2021,Albany,115,"19,215","5,240","439,822",,
02/05/2021,Albany,129,"19,344","3,933","443,755",,
02/06/2021,Albany,94,"19,438","2,658","446,413",,
02/07/2021,Albany,69,"19,507","1,714","448,127",,
02/08/2021,Albany,80,"19,587","1,394","449,521",,
02/09/2021,Albany,68,"19,655","1,766","451,287",,
02/10/2021,Albany,93,"19,748","5,082","456,369",,
02/11/2021,Albany,84,"19,832","2,686","459,055",,
02/12/2021,Albany,76,"19,908","5,570","464,625",,
02/13/2021,Albany,74,"19,982","2,018","466,643",,
02/14/2021,Albany,51,"20,033","3,431","470,074",,
02/15/2021,Albany,57,"20,090","1,353","471,427",,
02/16/2021,Albany,42,"20,132","4,248","475,675",,
02/17/2021,Albany,52,"20,184","2,399","478,074",,
02/18/2021,Albany,88,"20,272","3,283","481,357",,
02/19/2021,Albany,64,"20,336","7,797","489,154",,
02/20/2021,Albany,56,"20,392","3,727","492,881",,
02/21/2021,Albany,49,"20,441","1,542","494,423",,
02/22/2021,Albany,45,"20,486","1,305","495,728",,
02/23/2021,Albany,40,"20,526","1,843","497,571",,
02/24/2021,Albany,94,"20,620","4,931","502,502",,
02/25/2021,Albany,63,"20,683","5,862","508,364",,
02/26/2021,Albany,75,"20,758","4,453","512,817",,
02/27/2021,Albany,90,"20,848","4,113","516,930",,
02/28/2021,Albany,42,"20,890","1,612","518,542",,
03/01/2021,Albany,41,"20,931","1,242","519,784",,
03/02/2021,Albany,54,"20,985","1,994","521,778",,
03/03/2021,Albany,45,"21,030","2,493","524,271",,
03/04/2021,Albany,84,"21,114","5,983","530,254",,
03/05/2021,Albany,66,"21,180","4,295","534,549",,
03/06/2021,Albany,59,"21,239","2,283","536,832",,
03/07/2021,Albany,63,"21,302","1,515","538,347",,
03/08/2021,Albany,52,"21,354","1,118","539,465",,
03/09/2021,Albany,49,"21,403","1,749","541,214",,
03/10/2021,Albany,65,"21,468","4,543","545,757",,
03/11/2021,Albany,43,"21,511","3,924","549,681",,
03/12/2021,Albany,40,"21,551","3,374","553,055",,
03/13/2021,Albany,44,"21,595","3,750","556,805",,
03/14/2021,Albany,50,"21,645","1,466","558,271",,
03/15/2021,Albany,43,"21,688","1,457","559,728",,
03/16/2021,Albany,48,"21,736","1,907","561,635",,
03/17/2021,Albany,70,"21,806","4,089","565,724",,
03/18/2021,Albany,61,"21,867","2,860","568,584",,
03/19/2021,Albany,47,"21,914","4,698","573,282",,
03/20/2021,Albany,68,"21,982","4,197","577,479",,
03/21/2021,Albany,42,"22,024","1,385","578,864",,
03/22/2021,Albany,54,"22,078","1,247","580,111",,
03/23/2021,Albany,63,"22,141","1,659","581,770",,
03/24/2021,Albany,73,"22,214","4,447","586,217",,
03/25/2021,Albany,62,"22,276","4,003","590,220",,
03/26/2021,Albany,75,"22,351","3,732","593,952",,
03/27/2021,Albany,67,"22,418","2,573","596,525",,
03/28/2021,Albany,58,"22,476","2,781","599,306",,
03/29/2021,Albany,60,"22,536","1,426","600,732",,
03/30/2021,Albany,77,"22,613","1,923","602,655",,
03/31/2021,Albany,83,"22,696","3,171","605,826",,
04/01/2021,Albany,42,"22,738","4,022","609,848",,
04/02/2021,Albany,61,"22,799","4,096","613,944",,
04/03/2021,Albany,56,"22,855","2,515","616,459",,
04/04/2021,Albany,70,"22,925","1,373","617,832",,
04/05/2021,Albany,40,"22,965","1,139","618,971",,
04/06/2021,Albany,46,"23,011","1,966","620,937",,
04/07/2021,Albany,68,"23,079","2,097","623,034",,
04/08/2021,Albany,70,"23,149","4,494","627,528",,
04/09/2021,Albany,68,"23,217","3,101","630,629",,
04/10/2021,Albany,63,"23,280","2,326","632,955",,
04/11/2021,Albany,43,"23,323","1,013","633,968",,
04/12/2021,Albany,45,"23,368","1,386","635,354",,
04/13/2021,Albany,41,"23,409","1,790","637,144",,
04/14/2021,Albany,64,"23,473","2,498","639,642",,
04/15/2021,Albany,62,"23,535","1,719","641,361",,
04/16/2021,Albany,74,"23,609","2,618","643,979",,
04/17/2021,Albany,70,"23,679","2,656","646,635",,
04/18/2021,Albany,39,"23,718","1,334","647,969",,
04/19/2021,Albany,54,"23,772","1,031","649,000",,
04/20/2021,Albany,28,"23,800","1,669","650,669",,
04/21/2021,Albany,70,"23,870","2,541","653,210",,
04/22/2021,Albany,44,"23,914","2,179","655,389",,
04/23/2021,Albany,38,"23,952","3,326","658,715",,
04/24/2021,Albany,24,"23,976","2,009","660,724",,
04/25/2021,Albany,33,"24,009","1,125","661,849",,
04/26/2021,Albany,29,"24,038","1,268","663,117",,
04/27/2021,Albany,18,"24,056","1,401","664,518",,
04/28/2021,Albany,46,"24,102","2,234","666,752",,
04/29/2021,Albany,26,"24,128","2,400","669,152",,
04/30/2021,Albany,31,"24,159","2,044","671,196",,
05/01/2021,Albany,21,"24,180","2,176","673,372",,
05/02/2021,Albany,12,"24,192","1,217","674,589",,
05/03/2021,Albany,20,"24,212",854,"675,443",,
05/04/2021,Albany,14,"24,226","1,661","677,104",,
05/05/2021,Albany,20,"24,246","2,021","679,125",,
05/06/2021,Albany,24,"24,270","1,717","680,842",,
05/07/2021,Albany,32,"24,302","5,310","686,152",,
05/08/2021,Albany,19,"24,321","1,600","687,752",,
05/09/2021,Albany,13,"24,334",902,"688,654",,
05/10/2021,Albany,15,"24,349","1,077","689,731",,
05/11/2021,Albany,19,"24,368","1,212","690,943",,
05/12/2021,Albany,17,"24,385","1,939","692,882",,
05/13/2021,Albany,21,"24,406","2,972","695,854",,
05/14/2021,Albany,22,"24,428","2,307","698,161",,
05/15/2021,Albany,17,"24,445","1,612","699,773",,
05/16/2021,Albany,10,"24,455",900,"700,673",,
05/17/2021,Albany,11,"24,466",766,"701,439",,
05/18/2021,Albany,14,"24,480","1,306","702,745",,
05/19/2021,Albany,13,"24,493","2,476","705,221",,
05/20/2021,Albany,23,"24,516","1,969","707,190",,
05/21/2021,Albany,15,"24,531","1,771","708,961",,
05/22/2021,Albany,18,"24,549","1,218","710,179",,
05/23/2021,Albany,17,"24,566",806,"710,985",,
05/24/2021,Albany,17,"24,583",544,"711,529",,
05/25/2021,Albany,10,"24,593","1,336","712,865",,
05/26/2021,Albany,10,"24,603","1,699","714,564",,
05/27/2021,Albany,11,"24,614","1,454","716,018",,
05/28/2021,Albany,7,"24,621","1,420","717,438",,
05/29/2021,Albany,7,"24,628","1,119","718,557",,
05/30/2021,Albany,5,"24,633",577,"719,134",,
05/31/2021,Albany,1,"24,634",305,"719,439",,
06/01/2021,Albany,8,"24,642",670,"720,109",,
06/02/2021,Albany,6,"24,648","1,075","721,184",,
06/03/2021,Albany,4,"24,652","2,250","723,434",,
06/04/2021,Albany,9,"24,661","1,711","725,145",,
06/05/2021,Albany,7,"24,668","1,074","726,219",,
06/06/2021,Albany,7,"24,675",571,"726,790",,
06/07/2021,Albany,3,"24,678",996,"727,786",,
06/08/2021,Albany,4,"24,682",985,"728,771",,
06/09/2021,Albany,3,"24,685","1,498","730,269",,
06/10/2021,Albany,2,"24,687","1,509","731,778",,
06/11/2021,Albany,2,"24,689","1,864","733,642",,
06/12/2021,Albany,5,"24,694",758,"734,400",,
06/13/2021,Albany,2,"24,696",539,"734,939",,
06/14/2021,Albany,3,"24,699",319,"735,258",,
06/15/2021,Albany,1,"24,700",856,"736,114",,
06/16/2021,Albany,3,"24,703","1,212","737,326",,
06/17/2021,Albany,5,"24,708",754,"738,080",,
06/18/2021,Albany,4,"24,712","1,069","739,149",,
06/19/2021,Albany,4,"24,716",738,"739,887",,
06/20/2021,Albany,2,"24,718",492,"740,379",,
06/21/2021,Albany,1,"24,719",373,"740,752",,
06/22/2021,Albany,3,"24,722",667,"741,419",,
06/23/2021,Albany,1,"24,723",945,"742,364",,
06/24/2021,Albany,3,"24,726",757,"743,121",,
06/25/2021,Albany,2,"24,728",928,"744,049",,
06/26/2021,Albany,1,"24,729","1,068","745,117",,
06/27/2021,Albany,4,"24,733",469,"745,586",,
06/28/2021,Albany,0,"24,733",434,"746,020",,
06/29/2021,Albany,1,"24,734",457,"746,477",,
06/30/2021,Albany,1,"24,735",970,"747,447",,
07/01/2021,Albany,1,"24,736",617,"748,064",,
07/02/2021,Albany,1,"24,737",555,"748,619",,
07/03/2021,Albany,2,"24,739",544,"749,163",,
07/04/2021,Albany,0,"24,739",313,"749,476",,
07/05/2021,Albany,1,"24,740",315,"749,791",,
07/06/2021,Albany,0,"24,740",299,"750,090",,
07/07/2021,Albany,6,"24,746",605,"750,695",,
07/08/2021,Albany,2,"24,748",665,"751,360",,
07/09/2021,Albany,5,"24,753",578,"751,938",,
07/10/2021,Albany,5,"24,758",408,"752,346",,
07/11/2021,Albany,9,"24,767",424,"752,770",,
07/12/2021,Albany,3,"24,770",339,"753,109",,
07/13/2021,Albany,8,"24,778",438,"753,547",,
07/14/2021,Albany,8,"24,786",585,"754,132",,
07/15/2021,Albany,9,"24,795",496,"754,628",,
07/16/2021,Albany,5,"24,800",463,"755,091",,
07/17/2021,Albany,10,"24,810",622,"755,713",,
07/18/2021,Albany,13,"24,823",466,"756,179",,
07/19/2021,Albany,8,"24,831",507,"756,686",,
07/20/2021,Albany,11,"24,842",605,"757,291",,
07/21/2021,Albany,17,"24,859",733,"758,024",,
07/22/2021,Albany,22,"24,881",773,"758,797",,
07/23/2021,Albany,12,"24,893",618,"759,415",,
07/24/2021,Albany,24,"24,917",759,"760,174",,
07/25/2021,Albany,7,"24,924",335,"760,509",,
07/26/2021,Albany,19,"24,943",553,"761,062",,
07/27/2021,Albany,22,"24,965",770,"761,832",,
